Node,Node_type,Node_connections,Object,Door,Object_category_type,Object_type,Exit_Connections,Vertical_node_connections
H_entry,object,M1_1,H1-Building_M1,,exit,building_connection,H1,
M1_1,,"H_entry, M1_2",,,,,,
M1_2,"object, object","M1_1, M1_3","Stairs_1_M1, Outside-Exit_2_M1",,"exit, exit","stairs, outside_exit","[M2| M3], outside","Stairs_1_M2, Stairs_1_M3"
M1_3,object,"M1_2, M1_4",M1006,Door_M1006,room,room,,
M1_Int_1,int,"M1_3, M1_4, M1_Turn_1 ",,,,,,
M1_4,object,"M1_Int_1, M1_5",M1004,Door_M1004,room,room,,
M1_5,object,"M1_4, M1_6",Elevator_M1,,exit,elevator,[M2|M3],"Stairs_1_M2, Stairs_1_M3"
M1_6,"object, turn","M1_5, M1_7",M1003,Door_M1003_1,room,room,,
M1_7,object,M1_6,Outside-Exit_1_M1,,exit,outside_exit,outside,
M1_Turn_1,turn,"M1_Int_1, M1_8",,,,,,
M1_8,object,"M1_Turn_1, M1_Int_2",M1018,Door_M1018,room,room,,
M1_Int_2,"int, object","M1_8, M1_9, M1_14",M1003,Door_M1003_2,room,room,,
M1_9,object,"M1_Int_2, M1_10",Bathroom-Men_M1,Door_Bathroom-Men_M1,room,bathroom,,
M1_10,object,"M1_9, M1_11",Bathroom-Accessible_M1,Door_Bathroom-Accessible_M1,room,bathroom,,
M1_11,object,"M1_10, M1_12",Bathroom-Women_M1,Door_Bathroom-Women_M1,room,bathroom,,
M1_12,object,"M1_11, M1_Turn_2",M1033,Door_M1033,room,room,,
M1_Turn_2,turn,"M1_12, M1_13",,,,,,
M1_13,object,M1_Turn_2,"Stairs_2_M1, Outside-Exit_3_M1",,"exit, exit","stairs, outside_exit","[M2|M3], outside ","Stairs_1_M2, Stairs_1_M3"
M1_14,object,"M1_Int_2, M1_15",M1035,Door_M1035,room,room,,
M1_15,object,"M1_14, M1_16",M1037,Door_M1037,room,room,,
M1_16,object,"M1_15, M1_Turn_3","M1030, M1041","Door_M1030, Door_M1041","room, room","room, room",,
M1_Turn_3,"object, turn","M1_16, M1_17",M1045,Door_M1045,room,room,,
M1_17,object,"M1_Turn_3, M1_18",M1040,Door_M1040,room,room,,
M1_18,object,"M1_17, M1_19",M1049,Door_M1049,room,room,,
M1_19,object,M1_18,"Outside-Exit_4_M1, Stairs_3_M1",,"exit, exit","outside_exit, stairs"," outside, [M2| M3]","Stairs_1_M2, Stairs_1_M3"
